1 00:00:03,946 --> 00:00:05,368 Speaker SPEAKER_01: 嗨，大家好。
441 00:42:14,157 --> 00:42:18,844 说话人 SPEAKER_12：我认为对于大公司的高层来说，这又是另一个因素。
442 00:42:19,264 --> 00:42:26,715 说话人 SPEAKER_12：他们看到了它在视觉上的戏剧性结果，同时也看到了它已经在语音识别产品中推出，并且在那里也工作得非常好。
443 00:42:27,476 --> 00:42:31,601 说话人 SPEAKER_12：所以我认为它既能做语音，又能做视觉，显然它什么都能做。
444 00:42:33,590 --> 00:42:35,054 说话人 SPEAKER_12：我们不再谈论黑莓。
445 00:42:35,094 --> 00:42:44,757 说话人 SPEAKER_12: 真是遗憾，加拿大工业没有，你知道，我觉得如果那样的话，我们可能还能有黑莓。
446 00:42:44,777 --> 00:42:46,501 说话人 SPEAKER_10: 好吧，我们就说到这里吧。
447 00:42:47,782 --> 00:42:57,373 说话人 SPEAKER_10: 我以前听说过这个故事，但我觉得让全世界知道一些幕后的情况很重要，为什么这项技术即使免费提供也没有留在加拿大。
448 00:42:59,056 --> 00:43:00,818 说话人 SPEAKER_10: 好的，那么我们继续前进。
449 00:43:01,438 --> 00:43:03,722 说话人 SPEAKER_10：我们现在有了后变换器。
450 00:43:04,322 --> 00:43:07,507 说话人 SPEAKER_10：谷歌开始使用它，并以多种方式开发它。
451 00:43:08,228 --> 00:43:16,759 说话人 SPEAKER_10：OpenAI，你的前学生伊利亚离开谷歌后，与埃隆·马斯克、山姆·奥特曼、格雷格·布鲁克曼等人共同创立了 OpenAI。
452 00:43:17,498 --> 00:43:23,326 说话人 SPEAKER_10：伊利亚是首席科学家，安德烈，你的学生，作为联合创始人。
453 00：43：23,525 --> 00：43：34,599 演讲者 SPEAKER_10：他们正在一起工作，一个非常小的团队，基本上是，嗯，最初的想法是我们将构建 AGI 和通用人工智能。
最终，transformer 论文发布，他们开始采用，在某个时刻，transformers，并开始做出非凡的
他们内部获得收益，实际上并没有公开分享，在语言理解和许多其他方面他们能做的事情。
456 00：43：51,851 --> 00：43：54,436 演讲者 SPEAKER_10：他们在机器人技术方面的努力已经发展出来了。
457 00:43:54,536 --> 00:43:58,822 说话人 SPEAKER_10: 彼得·阿贝尔最终成立了 Covariant 公司，我们随后对其进行了投资，以及其他一些事情。
458 00:43:59,664 --> 00:44:03,250 说话人 SPEAKER_10: 所以语言部分一直在进步，一直在进步。
459 00:44:03,905 --> 00:44:07,170 说话人 SPEAKER_10: 外部人员开始开放，我并不真正了解具体发生了什么。
460 00:44:07,210 --> 00:44:11,315 说话人 SPEAKER_10: 然后 Chat GPT 在去年 11 月 30 日发布。
461 00:44:11,657 --> 00:44:13,119 说话人 SPEAKER_10: 约莫 10 个月前。
462 00:44:13,440 --> 00:44:18,086 说话人 SPEAKER_05: GPT2 引起了我们中的一些人的注意。
463 00:44:18,507 --> 00:44:20,309 说话人 SPEAKER_05: 我觉得实际上，
464 00:44:20,289 --> 00:44:34,704 说话人 SPEAKER_05: 我觉得在 GPT-2 发布的时候，我的同事李飞飞，斯坦福大学的 NLP 教授，我记得他来找我，说，飞飞，我有一个完全不同的
465 00:44:35,831 --> 00:44:39,275 说话人 SPEAKER_05: 认识到这项技术的重要性。
466 00:44:39,376 --> 00:44:47,324 说话人 SPEAKER_05: 所以归功于 Percy，他立即要求 HAI 建立一个研究中心来研究这项技术。
467 00:44:47,545 --> 00:44:53,192 说话人 SPEAKER_05: 我不知道这在多伦多是否具有争议。
468 00:44:53,211 --> 00:44:58,177 说话人 SPEAKER_05: 斯坦福大学是提出“基础模型”这一术语的大学。
469 00:44:58,157 --> 00:45:06,869 有些人称它为LLM，大型语言模型，但超越语言，我们称之为基础模型。
470 00:45:06,929 --> 00:45:18,463 我们在 3.5 发布之前，我想，在 Chad GPT 之前，就创建了基础模型研究中心。
471 00:45:18,503 --> 00:45:22,106 请为那些不熟悉的人描述一下什么是基础模型。
472 00:45:22,592 --> 00:45:24,014 这实际上是一个很好的问题。
473 00:45:24,135 --> 00:45:28,079 说话人 SPEAKER_05：基础模型，有些人觉得它必须包含 Transformer。
474 00:45:28,599 --> 00:45:29,960 说话人 SPEAKER_05：我不知道你是否这样觉得。
475 00:45:29,981 --> 00:45:32,523 说话人 SPEAKER_12：不，它只需要在大量数据上训练的一个非常大的模型。
476 00:45:32,543 --> 00:45:34,987 说话人 SPEAKER_05：非常大，用大量数据预训练的。
477 00:45:35,447 --> 00:45:42,215 说话人 SPEAKER_05：我认为一个基础模型最重要的特性是多任务的泛化能力。
478 00:45:42,715 --> 00:45:46,079 说话人 SPEAKER_05：例如，你不是在训练它进行机器翻译。
479 00:45:46,398 --> 00:45:50,523 说话人 SPEAKER_05：所以在 NLP 领域，机器翻译是一个非常重要的任务。
480 00:45:50,503 --> 00:45:55,769 说话人 SPEAKER_05：但像 GPT 这样的基础模型能够进行机器翻译。
481 00:45:55,889 --> 00:46:00,576 说话人 SPEAKER_05: 它可以进行对话、摘要等等。
482 00:46:00,596 --> 00:46:01,836 说话人 SPEAKER_05: 那就是一个基础模型。
483 00:46:01,876 --> 00:46:04,721 说话人 SPEAKER_05: 我们现在在多模态中看到了这一点。
484 00:46:04,820 --> 00:46:08,125 说话人 SPEAKER_05: 我们在视觉、机器人、视频等方面都看到了这一点。
485 00:46:08,144 --> 00:46:10,047 说话人 SPEAKER_05: 我们就是这样做的。
486 00:46:10,527 --> 00:46:11,469 说话人 SPEAKER_05: 但你说得对。
487 00:46:11,548 --> 00:46:17,956 说话人 SPEAKER_05: 公众是在，你说的什么，10 月 30 日看到的？
488 00:46:18,135 --> 00:46:18,956 说话人 SPEAKER_10: 我想是在 11 月。
489 00:46:18,976 --> 00:46:19,498 说话人 SPEAKER_12：十一月。
490 00:46:19,478 --> 00:46:36,938 说话人 SPEAKER_12：关于基础模型，还有一件非常重要的事情，那就是在认知科学中长期存在的一种观点，即这些神经网络，如果你给它们足够的训练数据，它们可以完成复杂的事情，但它们需要大量的训练数据。
491 00:46:36,958 --> 00:46:40,103 说话人 SPEAKER_12：它们需要看到成千上万只猫。
492 00:46:40,791 --> 00:46:43,918 说话人 SPEAKER_12：而人类在统计上更加高效。
493 00:46:44,079 --> 00:46:47,786 也就是说，它们可以在更少的数据上学会做这些事情。
494 00:46:47,806 --> 00:46:58,327 人们不再这么说了，因为他们实际上是在比较麻省理工学院本科生在有限数据上能学会做什么。
495 00:46:58,527 --> 00:47:03,016 与从随机权重开始的神经网络在有限数据上能学会做什么。
496 00:47:03,597 --> 00:47:13,057 如果你想进行公平的比较，你拿一个基础模型，即一个在大量事物上训练过的神经网络，然后给它一个全新的任务。
497 00:47:13,659 --> 00:47:17,768 说话人 SPEAKER_12：那么，您问，学习这个全新的任务需要多少数据？
498 00:47:18,710 --> 00:47:21,733 说话人 SPEAKER_12：这就是所谓的少样本学习，因为它不需要太多数据。
499 00:47:22,432 --> 00:47:26,536 说话人 SPEAKER_12：然后您会发现这些事情在统计上是高效的。
500 00:47:26,737 --> 00:47:32,001 说话人 SPEAKER_12：也就是说，它们在完成新任务所需数据量方面与人类相比相当有优势。
501 00:47:32,702 --> 00:47:40,889 说话者 SPEAKER_12：所以，那种我们天生就拥有大量知识的老观念，这使得我们远比那些只从数据中学习一切的事物优越。
502 00:47:41,530 --> 00:47:47,315 说话者 SPEAKER_12：现在人们差不多已经放弃了这种观点，因为如果你用一个没有先天知识但经验丰富的基座模型，
503 00:47:47,295 --> 00:47:50,320 说话者 SPEAKER_12：然后给它一个新的任务，它学习起来非常高效。
504 00:47:50,360 --> 00:47:51,762 说话者 SPEAKER_12：它不需要大量的数据。
505 00:47:53,324 --> 00:47:59,172 讲者 SPEAKER_05: 你知道，我的博士研究方向是一次性学习，但这个方向非常有趣。
506 00:47:59,293 --> 00:48:08,126 讲者 SPEAKER_05: 即使在贝叶斯框架下，你也可以进行预训练，但只有在神经网络中的预训练才能真正实现多任务。
507 00:48:08,246 --> 00:48:09,387 讲者 SPEAKER_10: 对。
508 00:48:10,027 --> 00:48:15,092 讲者 SPEAKER_10: 好的，所以这基本上在 ChatGPT 中得到了产品化。
509 00:48:15,733 --> 00:48:21,278 说话人 SPEAKER_10: 世界正在经历它，这仅仅发生在 10 个月前，尽管对我们中的某些人来说感觉像是很久以前。
510 00:48:21,478 --> 00:48:21,900 说话人 SPEAKER_06: 永恒。
511 00:48:22,079 --> 00:48:32,210 说话人 SPEAKER_10: 因为突然之间，很久以前发生了一次大爆炸，我认为很长时间以来没有人真正看到它的结果。
512 00:48:32,951 --> 00:48:39,358 说话人 SPEAKER_10: 意思是说，我的比喻是，有行星形成，有可见的恒星，每个人都可以体验。
513 00:48:39,338 --> 00:48:42,144 说话人 SPEAKER_10：过去 10 年发生的事情的结果，然后进行转换等。
514 00:48:42,806 --> 00:48:49,824 说话人 SPEAKER_10：所以，世界突然对我认为很多人感觉像魔法的东西变得非常兴奋。
515 00:48:51,128 --> 00:48:52,251 说话人 SPEAKER_10：他们可以触摸到的东西。
516 00:48:52,501 --> 00:49:09,990 说话人 SPEAKER_10：他们可以体验，并以他们要求的方式给出反馈，无论是输入文本提示并要求生成图像或视频，还是要求更多文本来回答你无法预料的问题，并得到那些意想不到的答案。
517 00:49:10,472 --> 00:49:12,635 说话人 SPEAKER_10: 这感觉有点像魔法。
518 00:49:13,324 --> 00:49:18,231 说话人 SPEAKER_10: 我个人的观点是，我们在人工智能领域总是不断调整目标线。
519 00:49:18,693 --> 00:49:20,494 说话人 SPEAKER_10: 人工智能总是我们做不到的事情。
520 00:49:20,574 --> 00:49:21,416 说话人 SPEAKER_10: 总是那魔法。
521 00:49:21,436 --> 00:49:23,619 说话人 SPEAKER_10: 一到那里，我们就说，那根本就不是人工智能。
522 00:49:24,119 --> 00:49:26,202 说话人 SPEAKER_10: 有些人说，那根本就不是人工智能。
523 00:49:26,222 --> 00:49:28,445 说话人 SPEAKER_10: 我们已经改变了目标线。
524 00:49:29,146 --> 00:49:32,130 说话人 SPEAKER_10: 在这种情况下，当它发布时，你的反应是什么？
525 00:49:33,032 --> 00:49:37,719 说话人 SPEAKER_10: 我知道你的一部分反应是你离开了谷歌，决定做不同的事情。
526 00:49:37,778 --> 00:49:40,463 说话人 SPEAKER_10: 但是当你第一次看到它时，你有什么想法？
527 00:49:40,730 --> 00:49:44,318 说话人 SPEAKER_12: 好吧，就像 Fei-Fei 说的，GPT-2 给我们所有人留下了深刻的印象。
528 00:49:45,161 --> 00:49:46,844 说话人 SPEAKER_12: 然后是一系列的稳步发展。
529 00:49:47,184 --> 00:49:56,206 之前在谷歌 GPT-4 和 GPT-3.5 之前，我也见过像 Palm 一样出色的东西。
530 00:49:56,373 --> 00:50:00,657 所以，这本身并没有带来太大的变化。
531 00:50:00,677 --> 00:50:05,423 更重要的是，Palm 在谷歌给我留下了深刻印象，因为 Palm 能解释为什么一个笑话好笑。
532 00:50:05,985 --> 00:50:12,793 我总是用这个来衡量，当它能够解释为什么一个笑话好笑时，我们就知道它真的理解了。
533 00:50:13,172 --> 00:50:14,074 说话人 SPEAKER_12: Palm 可以做到这一点。
534 00:50:15,235 --> 00:50:17,398 说话人 SPEAKER_12: 不是每个笑话，但很多笑话都可以。
535 00:50:17,418 --> 00:50:22,784 说话人 SPEAKER_12: 顺便说一句，现在这些事物在解释为什么笑话好笑方面相当不错，但在讲笑话方面却很糟糕。
536 00:50:22,764 --> 00:50:27,257 说话人 SPEAKER_12: 原因是，它们是一词一词地生成文本。
537 00:50:28,059 --> 00:50:35,440 说话者 SPEAKER_12：所以如果你让他们讲一个笑话，他们会尝试讲一个笑话，所以他们可能会尝试讲一些听起来像笑话的东西。
538 00:50:36,222 --> 00:50:37,887 说话者 SPEAKER_12：所以他们说，你知道，
539 00:50:37,867 --> 00:50:42,735 说话者 SPEAKER_12：一个牧师和一只獾走进了一家酒吧，这听起来有点像笑话的开头。
540 00:50:43,297 --> 00:50:47,244 说话者 SPEAKER_12：然后他们继续讲，讲一些听起来像笑话开头的东西。
541 00:50:47,583 --> 00:50:49,867 说话人 SPEAKER_12: 但是他们到了需要笑点的地方。
542 00:50:50,248 --> 00:50:51,311 说话人 SPEAKER_12: 当然，他们没有提前考虑。
543 00:50:51,351 --> 00:50:52,994 说话人 SPEAKER_12: 他们没有考虑笑点会是什么。
544 00:50:53,253 --> 00:50:55,358 说话人 SPEAKER_12: 他们只是在尝试让它听起来像是在引出笑话。
545 00:50:55,657 --> 00:51:01,007 说话人 SPEAKER_12: 然后他们给你一个可怜的弱笑点，因为他们必须想出一些笑点。
546 00:51:01,730 --> 00:51:07,099 说话人 SPEAKER_12: 所以尽管他们可以解释笑话，因为他们可以在说之前看到整个笑话，但他们不能讲笑话。
547 00:51:07,400 --> 00:51:08,282 说话人 SPEAKER_12: 但我们会解决这个问题。
548 00:51:09,583 --> 00:51:12,730 说话人 SPEAKER_10: 好的，所以我本来想问你，喜剧演员是不是未来的职业。
549 00:51:12,750 --> 00:51:18,780 说话人 SPEAKER_10: 你认为它会... 可能不会。
550 00:51:18,800 --> 00:51:19,061 说话人 SPEAKER_10: 好吧。
551 00:51:19,101 --> 00:51:19,762 说话人 SPEAKER_10: 所以无论如何。
552 00:51:21,545 --> 00:51:23,027 说话人 SPEAKER_10: 但是你对它的反应是什么？
553 00:51:23,528 --> 00:51:26,134 说话人 SPEAKER_10：再次，你在过程中看到了幕后的事情。
554 00:51:26,670 --> 00:51:27,956 说话人 SPEAKER_05：有一些反应。
555 00:51:28,880 --> 00:51:35,331 说话人 SPEAKER_05：我的第一个反应是，所有人中，我以为我了解数据的力量。
556 00:51:35,985 --> 00:51:40,152 说话人 SPEAKER_05：我还是对数据的力量感到敬畏。
557 00:51:40,693 --> 00:51:42,715 说话人 SPEAKER_05：那是一个技术反应。
558 00:51:42,775 --> 00:51:45,940 说话人 SPEAKER_05：我当时想，该死，我应该做一个更大的图像。
559 00:51:46,001 --> 00:51:47,362 说话人 SPEAKER_05：不，但也许不是。
560 00:51:47,804 --> 00:51:49,186 说话人 SPEAKER_05：但那真的很。
561 00:51:49,206 --> 00:51:50,807 说话人 SPEAKER_05: 太棒了。
562 00:51:50,827 --> 00:51:51,889 说话人 SPEAKER_05: 资金问题是关键。
563 00:51:53,472 --> 00:51:57,858 说话人 SPEAKER_05: 是的，所以那是第二点。
564 00:51:57,838 --> 00:52:13,338 说话人 SPEAKER_05: 当我看到公众对 AI 的觉醒时刻，不仅仅是 GPT-2 技术的时刻，查德 GPT，我一般想，谢天谢地，我们过去四年一直投资于以人为本的 AI。
565 00：52：14,000 --> 00：52：21,369 演讲者 SPEAKER_05：谢天谢地，我们与政策制定者、公共部门、公民社会建立了一座桥梁。
566 00：52：22,369 --> 00：52：24,353 议长 SPEAKER_05：我们做得还不够。
567 00:52:24,771 --> 00:52:29,056 说话者 SPEAKER_05：但谢天谢地，那次对话开始了。
568 00：52：29,197 --> 00：52：31,420 议长 SPEAKER_05：我们参与了。
569 00:52:31,960 --> 00:52:33,862 说话人 SPEAKER_05：我们领导了一部分。
570 00:52:34,304 --> 00:52:44,637 说话人 SPEAKER_05：例如，我们作为斯坦福大学的一个学院，正在领导一项关键的国家人工智能研究云法案，该法案仍在进行中。
571 00:52:44,617 --> 00:52:47,320 说话人 SPEAKER_05：现在国会。
572 00:52:48,119 --> 00:52:51,143 说话人 SPEAKER_05：实际上不是现在。
573 00:52:51,163 --> 00:52:51,643 讲述者 SPEAKER_05: 参议院。
574 00:52:52,083 --> 00:52:55,146 讲述者 SPEAKER_05: 这是通过摄像头的，所以至少参议院是在移动的。
575 00:52:56,467 --> 00:53:02,534 讲述者 SPEAKER_05: 因为我们对这次攻击的社会时刻进行了预测。
576 00:53:02,634 --> 00:53:06,317 讲述者 SPEAKER_05: 我们不知道它何时会到来，但我们知道它会到来。
577 00:53:07,257 --> 00:53:12,682 说话者 SPEAKER_05: 真诚地说，我有一种紧迫感。
578 00:53:12,663 --> 00:53:24,447 说话者 SPEAKER_05: 我们真的必须站出来，不仅作为技术人员的激情，也作为人文主义者的责任。
579 00:53:25,150 --> 00:53:31,362 说话者 SPEAKER_10: 所以你们两个，我想你们共同的反应是我们必须考虑
580 00:53:31,798 --> 00:53:35,809 说话者 SPEAKER_10: 这个机会的机遇，但也要考虑它的负面影响。
581 00:53:36,311 --> 00:53:44,914 说话人 SPEAKER_12：对我来说，有一件事我意识到，但直到很晚才意识到，这让我对社会影响产生了更大的兴趣。
582 00:53:46,092 --> 00:53:48,673 说话人 SPEAKER_12：就像 Fei-Fei 说的，数据的力量。
583 00:53:48,733 --> 00:54:08,672 说话人 SPEAKER_12：这些大型聊天机器人看到的数据比任何人都多得多，它们之所以能做到这一点，是因为你可以制作成千上万的相同模型副本，每个副本可以查看不同的数据子集，并且可以从这些数据中获得如何改变其参数的梯度，然后它们可以共享所有这些梯度。
584 00:54:09,393 --> 00:54:15,880 说话人 SPEAKER_12：因此，每个副本都可以从所有其他副本从数据中提取的内容中受益，而我们无法做到这一点。
585 00:54:16,534 --> 00:54:20,960 说话人 SPEAKER_12：假设你有 10,000 个人，他们去读 10,000 本不同的书。
586 00:54:21,539 --> 00:54:25,364 说话人 SPEAKER_12：然后他们每人读一本书，所有人都能知道所有书的内容。
587 00:54:25,945 --> 00:54:27,286 说话人 SPEAKER_12：这样我们就能变得非常聪明。
588 00:54:27,445 --> 00:54:28,606 说话人 SPEAKER_12：这正是这些事物所做的事情。
589 00:54:29,307 --> 00:54:31,110 说话人 SPEAKER_12: 因此它们远比我们优越。
590 00:54:31,610 --> 00:54:35,173 说话人 SPEAKER_05: 我们正在尝试进行一些教育，但不是这种方式。
591 00:54:35,193 --> 00:54:36,876 说话人 SPEAKER_12: 是的，但教育是无望的。
592 00:54:36,936 --> 00:54:41,039 说话人 SPEAKER_12: 我的意思是，几乎不值得花钱。
593 00:54:42,943 --> 00:54:46,489 说话人 SPEAKER_05：除了多伦多大学和桑福德大学。
594 00:54:48,052 --> 00:54:52,920 说话人 SPEAKER_10：我试图向朋友们解释，杰夫有一个非常讽刺的幽默感，如果你和他在一起的时间足够长，你就能理解。
595 00:54:53,000 --> 00:54:56,085 说话人 SPEAKER_10：但由你来决定那是否是讽刺的。
596 00:54:56,105 --> 00:55:00,130 说话人 SPEAKER_12：所以，我们交换知识的方式，粗略地说，这是一种简化。
597 00:55:00,632 --> 00:55:05,519 说话人 SPEAKER_12: 但是我说一句话，你需要在你的大脑中想出你需要改变什么，这样你才可能说出那样的话。
598 00:55:06,460 --> 00:55:08,344 说话人 SPEAKER_12: 这取决于你是否信任我。
599 00:55:09,168 --> 00:55:11,251 说话人 SPEAKER_12：我们也可以用这些模型来做。
600 00:55:11,570 --> 00:55:17,639 说话人 SPEAKER_12：如果你想让一个神经网络架构知道另一个架构知道的内容，而这个架构是完全不同的，你不能只是给它权重。
601 00:55:18,139 --> 00:55:19,961 说话人 SPEAKER_12：所以你让一个模仿另一个的输出。
602 00:55:20,123 --> 00:55:21,103 说话人 SPEAKER_12：这就叫做蒸馏。
603 00:55:21,585 --> 00:55:22,945 说话人 SPEAKER_12: 就是这样我们相互学习。
604 00:55:23,166 --> 00:55:24,128 说话人 SPEAKER_12: 但这非常低效。
605 00:55:24,208 --> 00:55:26,851 说话人 SPEAKER_12: 它受限于句子的带宽，大约几百比特。
606 00:55:27,572 --> 00:55:31,597 说话人 SPEAKER_12: 而如果你有这些模型，这些拥有万亿参数的数字代理，
607 00:55:32,489 --> 00:55:36,132 说话人 SPEAKER_12：他们各自查看不同的数据，然后共享梯度。
608 00:55:36,152 --> 00:55:37,795 说话人 SPEAKER_12：他们共享着万亿个数字。
609 00:55:38,456 --> 00:55:45,664 说话人 SPEAKER_12：所以您是在比较万亿个数字中蕴含的知识共享能力与几百比特的东西。
610 00:55:46,244 --> 00:55:49,429 说话人 SPEAKER_12：他们在这方面比我们强得多。
611 00:55:50,630 --> 00:55:57,297 说话人 SPEAKER_05：所以我猜，杰夫，我...我在技术层面上同意你的看法，但
612 00:55:57,581 --> 00:56:03,048 说话人 SPEAKER_05：对你来说，那是一个让你感到非常消极的时刻。
613 00:56:03,608 --> 00:56:06,313 说话人 SPEAKER_12：那一刻我觉得我们完了，是的。
614 00:56:06,994 --> 00:56:13,621 说话人 SPEAKER_05：我没有你那么消极，我稍后会解释，但我认为那就是我们...让我们来谈谈那件事。
615 00:56:14,302 --> 00:56:20,550 说话人 SPEAKER_10: 解释你为什么乐观，让我们了解你为什么更悲观。
616 00:56:21,271 --> 00:56:23,673 说话人 SPEAKER_12: 我悲观是因为悲观者通常是对的。
617 00:56:26,168 --> 00:56:29,032 说话人 SPEAKER_05: 我也以为自己是悲观主义者。
618 00:56:29,052 --> 00:56:30,574 说话人 SPEAKER_05: 我们进行了这次对话。
619 00:56:30,594 --> 00:56:34,398 说话人 SPEAKER_05：我不知道是否应该被称为乐观主义者。
620 00:56:34,940 --> 00:56:49,880 说话人 SPEAKER_05：我想，你看，当你 15 岁来到一个国家，现在只会说一点语言，从零美元开始，我的思维方式中有着非常实用的一面。
621 00:56:50,333 --> 00:57:04,554 说话人 SPEAKER_05：我认为，我们与技术的互动，比学术界通常预测的要复杂得多，因为我们是在象牙塔中进入学术界的。
622 00:57:04,655 --> 00:57:06,277 说话人 SPEAKER_05：我们想要做出发现。
623 00:57:06,378 --> 00:57:11,244 说话人 SPEAKER_05：我们想要打造一项技术，但我们往往过于纯粹主义。
624 00:57:11,224 --> 00:57:22,443 说话人 SPEAKER_05：但当像人工智能这样的技术落地并达到社会层面时，它不可避免地会与人类的行为纠缠在一起。
625 00:57:22,603 --> 00:57:27,713 说话人 SPEAKER_05：这就是，也许你可以称之为乐观，我对人性的感觉。
626 00:57:28,052 --> 00:57:29,436 说话人 SPEAKER_05：我相信人性。
627 00:57:29,576 --> 00:57:37,248 说话人 SPEAKER_05: 我不仅相信人类的韧性，还相信集体意志，历史的弧线，
628 00:57:37,228 --> 00:57:49,561 说话人 SPEAKER_05: 有时很危险，但如果我们做正确的事，我们就有一线机会，我们有一线机会创造一个更美好的未来。
629 00：57：49,702 --> 00：57：57,771 演讲者 SPEAKER_05：所以我真正感受到的不是此时此刻的妄想乐观，实际上是一种责任感的紧迫感。
630 00:57:58,030 --> 00:58:06,239 说话者 SPEAKER_05：有一件事，杰夫，我真的希望你能保持积极的态度，那就是看看这一代的学生。
在我的课程中，我每年春天都会教授一个600名本科生的深度学习和计算机视觉入门课程。
632 00：58：14,961 --> 00：58：19,146 议长 SPEAKER_05：这一代人与五年前相比是如此不同。
他们走进我们的课堂，不仅想学习深度学习 Transformer、通用人工智能，还想讨论伦理问题。
634 00：58：27,918 --> 00：58：29,300 议长 SPEAKER_05：他们想谈谈政策。
635 00：58：29,340 --> 00：58：31,884 演讲者 SPEAKER_05：他们想了解隐私和偏见。
636 00：58：32,405 --> 00：58：37,931 议长 SPEAKER_05：我认为那真的是我看到的人性
637 00:58:38,164 --> 00:58:41,813 机遇面前，我认为它是脆弱的。
638 00:58:41,833 --> 00:58:45,800 我的意思是，看看世界上正在发生的事情，在华盛顿。
639 00:58:46,282 --> 00:58:52,494 它非常脆弱，但我觉得如果我们认识到这个时刻，就有希望。
640 00:58:52,998 --> 00:58:54,219 所以我看到了同样的事情。
641 00:58:54,239 --> 00:58:58,786 讲者 SPEAKER_12：我现在不再教本科生了，但我看到一些年轻的教师也在这样做。
642 00:58:58,826 --> 00:59:06,536 讲者 SPEAKER_12：比如在多伦多大学，两位最杰出的年轻教授去了 Anthropic 公司从事对齐工作。
643 00:59:07,757 --> 00:59:09,960 讲者 SPEAKER_12：罗杰·格雷斯（Roger Grace）希望这次能回来。
644 00:59:10,922 --> 00:59:15,847 讲者 SPEAKER_12：比如伊利亚（Ilya），现在全职从事对齐工作。
645 00:59:15,967 --> 00:59:18,751 说话人 SPEAKER_12: 现在确实有一个巨大的转变。
646 00:59:19,153 --> 00:59:29,168 说话人 SPEAKER_12: 我认为我不太可能提出有助于解决这个问题的新想法，但我可以鼓励这些年轻人，这些大约 40 岁的年轻人。
647 00:59:30,090 --> 00:59:30,510 说话人 SPEAKER_05: 谢谢。
648 00:59:33,635 --> 00:59:36,699 说话人 SPEAKER_12: 去实现这些想法，他们现在真的在认真对待这些想法。
649 00:59:36,719 --> 00:59:48,215 说话人 SPEAKER_05: 只要我们把最聪明的大脑，就像在场的许多观众和在线的你们一样，投入到这个问题中，这就是我的希望所在。
650 00:59:48,769 --> 00:59:56,025 说话人 SPEAKER_10: 所以杰夫，你离开谷歌很大一部分原因是为了能够自由地按照你想要的方式谈论这个问题。
651 00:59:57,168 --> 00:59:59,472 说话人 SPEAKER_12: 事实上，这并不完全正确。
652 00:59:59,492 --> 01:00:01,677 说话人 SPEAKER_12: 这是媒体报道的故事，听起来不错。
653 01:00:02,137 --> 01:00:08,331 说话人 SPEAKER_12: 我离开谷歌是因为我年纪大了，感到疲惫，想要退休看看 Netflix。
654 01:00:08,851 --> 01:00:18,581 说话人 SPEAKER_12: 那时我恰好有机会说出我一直思考的责任问题，不必担心谷歌的反应。
655 01:00:19,023 --> 01:00:19,844 说话人 SPEAKER_10: 所以更像是这样。
656 01:00:19,923 --> 01:00:21,945 说话人 SPEAKER_10: 如果我们有时间，我们会回来讨论 Netflix 的推荐。
657 01:00:21,965 --> 01:00:23,547 说话人 SPEAKER_10: 我本来想说。
658 01:00:23,987 --> 01:00:30,596 说话人 SPEAKER_10: 在此期间，但你确实出去并在媒体上发表了相当重要的言论。
659 01:00:30,996 --> 01:00:35,922 说话人 SPEAKER_10: 我认为你们在过去八个月里可能和更多的政治家交谈过，比你们以前一生中交谈的都要多。
660 01:00:35,902 --> 01:00:42,934 说话人 SPEAKER_10: 从总统和总理，到国会、议会等等。
661 01:00:45,237 --> 01:00:54,213 说话人 SPEAKER_10: 杰夫，你能解释一下你的担忧是什么，你试图通过表达它来达到什么目的，你认为这样做是否有效吗？
662 01:00:55,135 --> 01:01:00,744 说话人 SPEAKER_12: 是的，所以人们谈论 AI 风险，但存在许多不同的风险。
663 01:01:00,994 --> 01:01:06,300 说话人 SPEAKER_12: 因此，它可能会夺走工作，而不会创造那么多工作。
664 01:01:06,800 --> 01:01:09,123 说话人 SPEAKER_12: 因此，我们将有一大批失业人群。
665 01:01:09,682 --> 01:01:18,170 说话人 SPEAKER_12：我们必须对此高度重视，因为生产力 AI 带来的增长不会与失去工作的人共享。
666 01:01:18,210 --> 01:01:20,594 说话人 SPEAKER_12：富人会变得更富，穷人会变得更穷。
667 01:01:21,414 --> 01:01:27,119 说话人 SPEAKER_12：即使你有基本收入，这也无法解决许多人的尊严问题。
668 01:01:27,572 --> 01:01:31,389 说话人 SPEAKER_12：他们想要有一份工作，感觉自己在做重要的事情。
669 01:01:31,521 --> 01:01:33,204 演讲者 SPEAKER_12：包括学术界。
670 01:01:34,085 --> 01:01:35,867 演讲者 SPEAKER_12：所以这是一个问题。
671 01:01:36,347 --> 01:01:40,072 演讲者 SPEAKER_12：然后是假新闻的问题，这是一个相当不同的问题。
672 01:01:40,092 --> 01:01:41,893 演讲者 SPEAKER_12：然后是战斗机器人问题。
673 01:01:41,914 --> 01:01:43,335 说话人 SPEAKER_12：这又是一个完全不同的问题。
674 01:01:43,376 --> 01:01:48,943 说话人 SPEAKER_12：所有大的国防部门都想制造战斗机器人，没有人能阻止他们。
675 01:01:48,963 --> 01:01:49,923 说话人 SPEAKER_12：那将会很糟糕。
676 01:01:50,284 --> 01:01:57,373 说话人 SPEAKER_12：也许最终，在我们与战斗机器人打了些仗之后，我们会得到类似日内瓦公约的东西，就像我们对待化学武器那样。
677 01:01:57,853 --> 01:02:00,617 说话人 SPEAKER_12：直到它们被使用之后，人们才能对此采取行动。
