1 00:00:02,410 --> 00:00:06,495 说话人 SPEAKER_00: 为本视频的主题人物 Geoffrey Hinton 写一个简短的介绍。
456 00:41:17,210 --> 00:41:26,340 说话人 SPEAKER_01：它想利用它们为你提供更好的搜索结果或帮你完成 Gmail，而不是让人们来玩耍。
457 00:41:27,521 --> 00:41:33,686 说话人 SPEAKER_01：它只能那样负责，直到 OpenAI 和微软将其推出，然后谷歌不得不竞争。
458 00:41:33,987 --> 00:41:39,416 说话人 SPEAKER_01：但大公司的大人物们真的很在乎他们的声誉，以及避免产生不良影响。
459 00:41:40,418 --> 00:41:49,653 说话人 SPEAKER_01：但也许可以通过政府采取行动，坚持要求他们投入大量工作来解决安全问题，使他们更加关注这个问题。
460 00:41:50,516 --> 00:41:55,945 说话人 SPEAKER_01：还有其他事情可能会发生，比如在公司内部，这非常困难。
461 00:41:56,431 --> 00:42:07,047 说话人 SPEAKER_01：让人们研究长期存在的生存威胁，因为他们是由公司支付的，存在利益冲突，这也是我离开谷歌的原因之一。
462 00:42:07,489 --> 00:42:10,954 说话人 SPEAKER_01：不是因为谷歌做了什么错事，只是我不想有任何利益冲突。
463 00:42:13,338 --> 00:42:19,688 说话人 SPEAKER_01：大型公司肯定可以做的一件事是投入更多资金支持研究这些问题的基金会。
464 00:42:20,173 --> 00:42:27,463 说话人 SPEAKER_01：例如，谷歌投入了 3 亿美元到一个名为 Anthropic 的基金会，该基金会正在研究这些问题。
465 00:42:29,545 --> 00:42:30,847 说话人 SPEAKER_01：他们可以投入更多的资金。
466 00:42:32,429 --> 00:42:46,789 说话人 SPEAKER_02：我想知道您会给那些刚刚进入这个领域的研究人员什么建议或指导，他们想要确保自己在推进这个领域的同时，也要以负责任的方式进行。
467 00:42:48,742 --> 00:42:57,704 说话人 SPEAKER_01：嗯，我会给出的一个建议是看看有多少人在努力让这些事物变得更好，有多少人在努力防止它们失控。
468 00:42:57,764 --> 00:43:03,318 说话人 SPEAKER_01：你会发现有 99 个人在努力让它们变得更好，而只有一个人在努力防止它们失控。
469 00:43:03,358 --> 00:43:06,246 说话人 SPEAKER_01：那么你可以在哪里产生最大的影响？
470 00:43:06,226 --> 00:43:09,088 说话人 SPEAKER_01：可能是在防止它们失控方面工作。
471 00:43:09,108 --> 00:43:10,530 说话人 SPEAKER_01：这是第一条建议。
472 00:43:11,371 --> 00:43:23,623 说话人 SPEAKER_01：另一条建议是对年轻研究者的普遍建议，那就是寻找你认为大家都在做错的地方，并相信你的直觉。
473 00:43:24,664 --> 00:43:33,431 说话者 SPEAKER_01：在你弄清楚你的直觉为什么错误之前，相信它，并在你认为其他人做错的时候，尝试其他的方法。
474 00:43:34,677 --> 00:43:37,019 说话者 SPEAKER_01：事实上，要么你有好的直觉，要么你没有。
475 00:43:37,641 --> 00:43:43,889 说话者 SPEAKER_01：如果你有好的直觉，你应该听从它们，跟随你的直觉，并在此基础上工作，直到你发现为什么它是错误的。
476 00:43:45,311 --> 00:43:49,255 说话者 SPEAKER_01：如果你有不好的直觉，你做什么其实都无关紧要，所以你不妨跟随你的直觉。
你所描述的风险令人担忧，但难道不能只是拉一下开关就关闭它吗？
478 00：43：56,806 --> 00：43：59,608 演讲者 SPEAKER_00：人类最终不是仍然在控制之中吗？
479 00：44：00,449 --> 00：44：03,974 议长 SPEAKER_01：我们很容易想到我们可以把它关掉。
480 00：44：05,777 --> 00：44：07,960 演讲者 SPEAKER_01：想象一下，这些东西比我们聪明得多。
481 00:44:08,840 --> 00:44:12,023 说话人 SPEAKER_01：记住，他们已经阅读了马基雅维利所写的所有东西。
482 00:44:12,724 --> 00:44:16,668 说话人 SPEAKER_01：他们会阅读人类欺骗文献中的每一个例子。
483 00:44:17,708 --> 00:44:21,092 说话人 SPEAKER_01：他们将真正成为人类欺骗的专家，因为他们已经从我们这里学到了这一点。
484 00:44:22,293 --> 00:44:23,474 说话人 SPEAKER_01：他们将会比我们做得更好。
485 00:44:24,295 --> 00:44:26,577 说话人 SPEAKER_01：他们将会像你操纵一个幼儿一样。
486 00:44:27,478 --> 00:44:29,840 你知道，你会对你的幼儿说，你是想吃豌豆还是花椰菜？
487 00:44:30,320 --> 00:44:34,164 幼儿并没有意识到，实际上他不必两者都要。
488 00:44:34,329 --> 00:44:39,416 他只是想哪个更不喜欢，然后说他会选择另一个。
489 00：44：39,797 --> 00：44：46,644 演讲者 SPEAKER_01：所以如果他们能纵人，他们就能纵人按下按钮和拉杆。
490 00:44:47,925 --> 00:44:50,108 说话者 SPEAKER_01：所以我们有一个很好的唐纳德·特朗普的例子。
特朗普可以操纵人们，所以他可以在从未亲自去过那里的情况下入侵华盛顿的一座建筑。
492 00:44:57,197 --> 00:45:00,961 说话者 SPEAKER_01：你不必阻止唐纳德·特朗普做任何身体上的事情。
493 00:45:01,853 --> 00:45:04,096 说话人 SPEAKER_01：你必须阻止他说话，以防止这种情况发生。
494 00:45:05,036 --> 00:45:05,998 说话人 SPEAKER_01：这些都是聊天机器人。
495 00:45:06,697 --> 00:45:12,525 说话人 SPEAKER_01：所以，仅仅通过谈话，它们无法造成任何真正的伤害，因为这需要人们去造成伤害。
496 00:45:12,965 --> 00:45:17,451 说话人 SPEAKER_01：一旦你能操纵人们，那么你就能完成任何你想要的事情。
497 00:45:20,092 --> 00:45:25,980 说话人 SPEAKER_00：你一生致力于理解人脑的工作原理，并在人工智能发展中发挥了关键作用。
498 00:45:26,681 --> 00:45:28,603 说话人 SPEAKER_00：接下来你有什么计划，杰弗里·辛顿？
499 00:45:30,170 --> 00:45:38,036 说话人 SPEAKER_01：好的，我今年 75 岁，已经到了写程序不太擅长的地步，因为我总是忘记我使用的变量名等。
500 00:45:38,657 --> 00:45:42,322 说话人 SPEAKER_01：还有，我忘记……我复制粘贴，然后忘记修改粘贴的内容。
501 00:45:43,181 --> 00:45:47,726 说话人 SPEAKER_01: 因此，我在编程上慢了很多，这非常令人烦恼。
502 00:45:48,166 --> 00:45:50,769 说话人 SPEAKER_01: 没有以前那么好，这非常令人烦恼。
503 00:45:52,030 --> 00:45:58,556 说话人 SPEAKER_01: 很久以前我就决定，当我达到那个地步时，我会成为一个哲学家。
504 00:45:59,650 --> 00:46:01,172 说话人 SPEAKER_01: 因此，我将成为一个哲学家。
